,Symbol,Name,Sector,Industry
257,IVZ,Invesco,Financials,Asset Management & Custody Banks
258,INVH,Invitation Homes,Real Estate,Single-Family Residential REITs
259,IQV,IQVIA,Health Care,Life Sciences Tools & Services
260,IRM,Iron Mountain,Real Estate,Other Specialized REITs
261,JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation
262,JBL,Jabil,Information Technology,Electronic Manufacturing Services
263,JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services
264,J,Jacobs Solutions,Industrials,Construction & Engineering
265,JNJ,Johnson & Johnson,Health Care,Pharmaceuticals
266,JCI,Johnson Controls,Industrials,Building Products
267,JPM,JPMorgan Chase,Financials,Diversified Banks
268,JNPR,Juniper Networks,Information Technology,Communications Equipment
269,K,Kellanova,Consumer Staples,Packaged Foods & Meats
270,KVUE,Kenvue,Consumer Staples,Personal Care Products
271,KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
272,KEY,KeyCorp,Financials,Regional Banks
273,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments
274,KMB,Kimberly-Clark,Consumer Staples,Household Products
275,KIM,Kimco Realty,Real Estate,Retail REITs
276,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation
277,KKR,KKR,Financials,Asset Management & Custody Banks
278,KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment
279,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats
280,KR,Kroger,Consumer Staples,Food Retail
281,LHX,L3Harris,Industrials,Aerospace & Defense
282,LH,LabCorp,Health Care,Health Care Services
283,LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment
284,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats
285,LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming
286,LDOS,Leidos,Industrials,Diversified Support Services
287,LEN,Lennar,Consumer Discretionary,Homebuilding
288,LII,Lennox International,Industrials,Building Products
289,LLY,Lilly (Eli),Health Care,Pharmaceuticals
290,LIN,Linde plc,Materials,Industrial Gases
291,LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment
292,LKQ,LKQ Corporation,Consumer Discretionary,Distributors
293,LMT,Lockheed Martin,Industrials,Aerospace & Defense
294,L,Loews Corporation,Financials,Multi-line Insurance
295,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail
296,LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
297,LYB,LyondellBasell,Materials,Specialty Chemicals
298,MTB,M&T Bank,Financials,Regional Banks
299,MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing
300,MKTX,MarketAxess,Financials,Financial Exchanges & Data
301,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
302,MMC,Marsh McLennan,Financials,Insurance Brokers
303,MLM,Martin Marietta Materials,Materials,Construction Materials
304,MAS,Masco,Industrials,Building Products
305,MA,Mastercard,Financials,Transaction & Payment Processing Services
306,MTCH,Match Group,Communication Services,Interactive Media & Services
307,MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats
308,MCD,McDonald's,Consumer Discretionary,Restaurants
309,MCK,McKesson Corporation,Health Care,Health Care Distributors
310,MDT,Medtronic,Health Care,Health Care Equipment
311,MRK,Merck & Co.,Health Care,Pharmaceuticals
312,META,Meta Platforms,Communication Services,Interactive Media & Services
313,MET,MetLife,Financials,Life & Health Insurance
314,MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services
315,MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming
316,MCHP,Microchip Technology,Information Technology,Semiconductors
317,MU,Micron Technology,Information Technology,Semiconductors
318,MSFT,Microsoft,Information Technology,Systems Software
319,MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs
320,MRNA,Moderna,Health Care,Biotechnology
321,MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings
322,MOH,Molina Healthcare,Health Care,Managed Health Care
323,TAP,Molson Coors Beverage Company,Consumer Staples,Brewers
324,MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats
325,MPWR,Monolithic Power Systems,Information Technology,Semiconductors
326,MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
327,MCO,Moody's Corporation,Financials,Financial Exchanges & Data
328,MS,Morgan Stanley,Financials,Investment Banking & Brokerage
329,MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals
330,MSI,Motorola Solutions,Information Technology,Communications Equipment
331,MSCI,MSCI,Financials,Financial Exchanges & Data
332,NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data
333,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals"
334,NFLX,Netflix,Communication Services,Movies & Entertainment
335,NEM,Newmont,Materials,Gold
336,NWSA,News Corp (Class A),Communication Services,Publishing
337,NWS,News Corp (Class B),Communication Services,Publishing
338,NEE,NextEra Energy,Utilities,Multi-Utilities
339,NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
340,NI,NiSource,Utilities,Multi-Utilities
341,NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components
342,NSC,Norfolk Southern Railway,Industrials,Rail Transportation
343,NTRS,Northern Trust,Financials,Asset Management & Custody Banks
344,NOC,Northrop Grumman,Industrials,Aerospace & Defense
345,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
346,NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders
347,NUE,Nucor,Materials,Steel
348,NVDA,Nvidia,Information Technology,Semiconductors
349,NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding
350,NXPI,NXP Semiconductors,Information Technology,Semiconductors
351,ORLY,O'Reilly Auto Parts,Consumer Discretionary,Automotive Retail
352,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production
353,ODFL,Old Dominion,Industrials,Cargo Ground Transportation
354,OMC,Omnicom Group,Communication Services,Advertising
355,ON,ON Semiconductor,Information Technology,Semiconductors
356,OKE,ONEOK,Energy,Oil & Gas Storage & Transportation
357,ORCL,Oracle Corporation,Information Technology,Application Software
358,OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components
359,PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment
360,PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials
361,PLTR,Palantir Technologies,Information Technology,Internet Services & Infrastructure
362,PANW,Palo Alto Networks,Information Technology,Systems Software
363,PARA,Paramount Global,Communication Services,Movies & Entertainment
364,PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components
365,PAYX,Paychex,Industrials,Human Resource & Employment Services
366,PAYC,Paycom,Industrials,Human Resource & Employment Services
367,PYPL,PayPal,Financials,Transaction & Payment Processing Services
368,PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components
369,PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
370,PFE,Pfizer,Health Care,Pharmaceuticals
371,PCG,PG&E Corporation,Utilities,Multi-Utilities
372,PM,Philip Morris International,Consumer Staples,Tobacco
373,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing
374,PNW,Pinnacle West,Utilities,Multi-Utilities
375,PNC,PNC Financial Services,Financials,Diversified Banks
376,POOL,Pool Corporation,Consumer Discretionary,Distributors
377,PPG,PPG Industries,Materials,Specialty Chemicals
378,PPL,PPL Corporation,Utilities,Electric Utilities
379,PFG,Principal Financial Group,Financials,Life & Health Insurance
380,PG,Procter & Gamble,Consumer Staples,Personal Care Products
381,PGR,Progressive Corporation,Financials,Property & Casualty Insurance
382,PLD,Prologis,Real Estate,Industrial REITs
383,PRU,Prudential Financial,Financials,Life & Health Insurance
384,PEG,Public Service Enterprise Group,Utilities,Electric Utilities
385,PTC,PTC Inc.,Information Technology,Application Software
386,PSA,Public Storage,Real Estate,Self-Storage REITs
387,PHM,PulteGroup,Consumer Discretionary,Homebuilding
388,PWR,Quanta Services,Industrials,Construction & Engineering
389,QCOM,Qualcomm,Information Technology,Semiconductors
390,DGX,Quest Diagnostics,Health Care,Health Care Services
391,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
392,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage
393,RTX,RTX Corporation,Industrials,Aerospace & Defense
394,O,Realty Income,Real Estate,Retail REITs
395,REG,Regency Centers,Real Estate,Retail REITs
396,REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology
397,RF,Regions Financial Corporation,Financials,Regional Banks
398,RSG,Republic Services,Industrials,Environmental & Facilities Services
399,RMD,ResMed,Health Care,Health Care Equipment
400,RVTY,Revvity,Health Care,Health Care Equipment
401,ROK,Rockwell Automation,Industrials,Electrical Components & Equipment
402,ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services
403,ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments
404,ROST,Ross Stores,Consumer Discretionary,Apparel Retail
405,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
406,SPGI,S&P Global,Financials,Financial Exchanges & Data
407,CRM,Salesforce,Information Technology,Application Software
408,SBAC,SBA Communications,Real Estate,Telecom Tower REITs
409,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services
410,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals"
411,SRE,Sempra,Utilities,Multi-Utilities
412,NOW,ServiceNow,Information Technology,Systems Software
413,SHW,Sherwin-Williams,Materials,Specialty Chemicals
414,SPG,Simon Property Group,Real Estate,Retail REITs
415,SWKS,Skyworks Solutions,Information Technology,Semiconductors
416,SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats
417,SW,Smurfit WestRock,Materials,Paper & Plastic Packaging Products & Materials
418,SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components
419,SOLV,Solventum,Health Care,Health Care Technology
420,SO,Southern Company,Utilities,Electric Utilities
421,LUV,Southwest Airlines,Industrials,Passenger Airlines
422,SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components
423,SBUX,Starbucks,Consumer Discretionary,Restaurants
424,STT,State Street Corporation,Financials,Asset Management & Custody Banks
425,STLD,Steel Dynamics,Materials,Steel
426,STE,Steris,Health Care,Health Care Equipment
427,SYK,Stryker Corporation,Health Care,Health Care Equipment
428,SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals"
429,SYF,Synchrony Financial,Financials,Consumer Finance
430,SNPS,Synopsys,Information Technology,Application Software
431,SYY,Sysco,Consumer Staples,Food Distributors
432,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services
433,TROW,T. Rowe Price,Financials,Asset Management & Custody Banks
434,TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment
435,TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
436,TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation
437,TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail
438,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services
439,TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments
440,TFX,Teleflex,Health Care,Health Care Equipment
441,TER,Teradyne,Information Technology,Semiconductor Materials & Equipment
442,TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers
443,TXN,Texas Instruments,Information Technology,Semiconductors
444,TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production
445,TXT,Textron,Industrials,Aerospace & Defense
446,TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services
447,TJX,TJX Companies,Consumer Discretionary,Apparel Retail
448,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail
449,TT,Trane Technologies,Industrials,Building Products
450,TDG,TransDigm Group,Industrials,Aerospace & Defense
451,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance
452,TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments
453,TFC,Truist Financial,Financials,Diversified Banks
454,TYL,Tyler Technologies,Information Technology,Application Software
455,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats
456,USB,U.S. Bancorp,Financials,Diversified Banks
457,UBER,Uber,Industrials,Passenger Ground Transportation
458,UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs
459,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail
