2029-04,"500,000","34,219,982","342,200","35,062,182"
2029-05,"500,000","35,062,182","350,622","35,912,804"
2029-06,"500,000","35,912,804","359,128","36,771,932"
2029-07,"500,000","36,771,932","367,719","37,639,651"
2029-08,"500,000","37,639,651","376,397","38,516,048"
2029-09,"500,000","38,516,048","385,160","39,401,208"
2029-10,"500,000","39,401,208","394,012","40,295,220"
2029-11,"500,000","40,295,220","402,952","41,198,172"
2029-12,"500,000","41,198,172","411,982","42,110,154"
2030-01,"500,000","42,110,154","421,102","43,031,256"
2030-02,"500,000","43,031,256","430,313","43,961,569"
2030-03,"500,000","43,961,569","439,616","44,901,185"
2030-04,"500,000","44,901,185","449,012","45,850,197"
2030-05,"500,000","45,850,197","458,502","46,808,699"
2030-06,"500,000","46,808,699","468,087","47,776,786"
2030-07,"500,000","47,776,786","477,768","48,754,554"
2030-08,"500,000","48,754,554","487,546","49,742,100"
2030-09,"500,000","49,742,100","497,421","50,739,521"
2030-10,"500,000","50,739,521","507,395","51,746,916"
2030-11,"500,000","51,746,916","517,469","52,764,385"
2030-12,"500,000","52,764,385","527,644","53,792,029"
2031-01,"500,000","53,792,029","537,920","54,829,949"
2031-02,"500,000","54,829,949","548,299","55,878,248"
2031-03,"500,000","55,878,248","558,782","56,937,030"
2031-04,"500,000","56,937,030","569,370","58,006,400"
2031-05,"500,000","58,006,400","580,064","59,086,464"
2031-06,"500,000","59,086,464","590,865","60,177,329"
2031-07,"500,000","60,177,329","601,773","61,279,102"
2031-08,"500,000","61,279,102","612,791","62,391,893"
2031-09,"500,000","62,391,893","623,919","63,515,812"
2031-10,"500,000","63,515,812","635,158","64,650,970"
2031-11,"500,000","64,650,970","646,510","65,797,480"
2031-12,"500,000","65,797,480","657,975","66,955,455"
2032-01,"500,000","66,955,455","669,555","68,125,010"
2032-02,"500,000","68,125,010","681,250","69,306,260"
2032-03,"500,000","69,306,260","693,063","70,499,323"
2032-04,"500,000","70,499,323","704,993","71,704,316"
2032-05,"500,000","71,704,316","717,043","72,921,359"
2032-06,"500,000","72,921,359","729,214","74,150,573"
2032-07,"500,000","74,150,573","741,506","75,392,079"
2032-08,"500,000","75,392,079","753,921","76,646,000"
2032-09,"500,000","76,646,000","766,460","77,912,460"
2032-10,"500,000","77,912,460","779,125","79,191,585"
2032-11,"500,000","79,191,585","791,916","80,483,501"
2032-12,"500,000","80,483,501","804,835","81,788,336"
2033-01,"500,000","81,788,336","817,883","83,106,219"
2033-02,"500,000","83,106,219","831,062","84,437,281"
2033-03,"500,000","84,437,281","844,373","85,781,654"
2033-04,"500,000","85,781,654","857,817","87,139,471"
2033-05,"500,000","87,139,471","871,395","88,510,866"
2033-06,"500,000","88,510,866","885,109","89,895,975"
2033-07,"500,000","89,895,975","898,960","91,294,935"
2033-08,"500,000","91,294,935","912,949","92,707,884"
2033-09,"500,000","92,707,884","927,079","94,134,963"
2033-10,"500,000","94,134,963","941,350","95,576,313"
2033-11,"500,000","95,576,313","955,763","97,032,076"
2033-12,"500,000","97,032,076","970,321","98,502,397"
2034-01,"500,000","98,502,397","985,024","99,987,421"
2034-02,"500,000","99,987,421","999,874","101,487,295"
2034-03,"500,000","101,487,295","1,014,873","103,002,168"
2034-04,"500,000","103,002,168","1,030,022","104,532,190"
2034-05,"500,000","104,532,190","1,045,322","106,077,512"
2034-06,"500,000","106,077,512","1,060,775","107,638,287"
2034-07,"500,000","107,638,287","1,076,383","109,214,670"
2034-08,"500,000","109,214,670","1,092,147","110,806,817"
2034-09,"500,000","110,806,817","1,108,068","112,414,885"
2034-10,"500,000","112,414,885","1,124,149","114,039,034"
2034-11,"500,000","114,039,034","1,140,390","115,679,424"
2034-12,"500,000","115,679,424","1,156,794","117,336,218"
2035-01,"500,000","117,336,218","1,173,362","119,009,580"
